Team,Year,State,Stadium,Capacity
ANA,1997,California,Angel Stadium,33851
ANA,1998,California,Angel Stadium,45050
ANA,1999,California,Angel Stadium,45050
ANA,2000,California,Angel Stadium,45050
ANA,2001,California,Angel Stadium,45050
ANA,2002,California,Angel Stadium,45050
ANA,2003,California,Angel Stadium,45050
ANA,2004,California,Angel Stadium,45050
ARI,1998,Arizona,Chase Field,48500
ARI,1999,Arizona,Chase Field,48500
ARI,2000,Arizona,Chase Field,48500
ARI,2001,Arizona,Chase Field,48500
ARI,2002,Arizona,Chase Field,49033
ARI,2003,Arizona,Chase Field,49033
ARI,2004,Arizona,Chase Field,49033
ARI,2005,Arizona,Chase Field,49033
ARI,2006,Arizona,Chase Field,49033
ARI,2007,Arizona,Chase Field,49033
ARI,2008,Arizona,Chase Field,48711
ARI,2009,Arizona,Chase Field,48652
ARI,2010,Arizona,Chase Field,48652
ARI,2011,Arizona,Chase Field,48633
ARI,2012,Arizona,Chase Field,48633
ARI,2013,Arizona,Chase Field,48633
ARI,2014,Arizona,Chase Field,48633
ARI,2015,Arizona,Chase Field,48519
ARI,2016,Arizona,Chase Field,48519
ATL,1990,Georgia,Fulton County Stadium,52007
ATL,1991,Georgia,Fulton County Stadium,52007
ATL,1992,Georgia,Fulton County Stadium,52013
ATL,1993,Georgia,Fulton County Stadium,52013
ATL,1994,Georgia,Fulton County Stadium,52013
ATL,1995,Georgia,Fulton County Stadium,52710
ATL,1996,Georgia,Fulton County Stadium,52763
ATL,1997,Georgia,Turner Field,50528
ATL,1998,Georgia,Turner Field,49714
ATL,1999,Georgia,Turner Field,49714
ATL,2000,Georgia,Turner Field,49714
ATL,2001,Georgia,Turner Field,50096
ATL,2002,Georgia,Turner Field,50096
ATL,2003,Georgia,Turner Field,50096
ATL,2004,Georgia,Turner Field,50096
ATL,2005,Georgia,Turner Field,50096
ATL,2006,Georgia,Turner Field,50096
ATL,2007,Georgia,Turner Field,50096
ATL,2008,Georgia,Turner Field,49743
ATL,2009,Georgia,Turner Field,49743
ATL,2010,Georgia,Turner Field,49743
ATL,2011,Georgia,Turner Field,49586
ATL,2012,Georgia,Turner Field,49586
ATL,2013,Georgia,Turner Field,49586
ATL,2014,Georgia,Turner Field,49586
ATL,2015,Georgia,Turner Field,49586
ATL,2016,Georgia,Turner Field,49586
BAL,1990,Maryland,Memorial Stadium,54017
BAL,1991,Maryland,Memorial Stadium,53371
BAL,1992,Maryland,Oriole Park,48041
BAL,1993,Maryland,Oriole Park,48041
BAL,1994,Maryland,Oriole Park,48041
BAL,1995,Maryland,Oriole Park,48041
BAL,1996,Maryland,Oriole Park,48041
BAL,1997,Maryland,Oriole Park,48079
BAL,1998,Maryland,Oriole Park,48079
BAL,1999,Maryland,Oriole Park,48079
BAL,2000,Maryland,Oriole Park,48079
BAL,2001,Maryland,Oriole Park,48190
BAL,2002,Maryland,Oriole Park,48190
BAL,2003,Maryland,Oriole Park,48190
BAL,2004,Maryland,Oriole Park,48190
BAL,2005,Maryland,Oriole Park,48290
BAL,2006,Maryland,Oriole Park,48290
BAL,2007,Maryland,Oriole Park,48290
BAL,2008,Maryland,Oriole Park,48290
BAL,2009,Maryland,Oriole Park,48290
BAL,2010,Maryland,Oriole Park,48290
BAL,2011,Maryland,Oriole Park,45971
BAL,2012,Maryland,Oriole Park,45971
BAL,2013,Maryland,Oriole Park,45971
BAL,2014,Maryland,Oriole Park,45971
BAL,2015,Maryland,Oriole Park,45971
BAL,2016,Maryland,Oriole Park,45971
BOS,1990,Massachusetts,Fenway Park,34182
BOS,1991,Massachusetts,Fenway Park,34171
BOS,1992,Massachusetts,Fenway Park,33925
BOS,1993,Massachusetts,Fenway Park,34218
BOS,1994,Massachusetts,Fenway Park,34218
BOS,1995,Massachusetts,Fenway Park,33871
BOS,1996,Massachusetts,Fenway Park,33871
BOS,1997,Massachusetts,Fenway Park,33871
BOS,1998,Massachusetts,Fenway Park,33871
BOS,1999,Massachusetts,Fenway Park,33871
