year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2016,ANA,Los Angeles Angels of Anaheim,AL West,162,74,88,0,.457,.494,4th of 5,21.0,,717,727,"3,016,142",28.5,28.4,53,30,M.Trout (10.4),M.Scioscia (74-88)
2015,ANA,Los Angeles Angels of Anaheim,AL West,162,85,77,0,.525,.490,3rd of 5,3.0,,661,675,"3,012,765",28.6,28.3,51,24,M.Trout (9.3),M.Scioscia (85-77)
2014,ANA,Los Angeles Angels of Anaheim,AL West,162,98,64,0,.605,.593,1st of 5,--,Lost LDS (3-0),773,630,"3,095,935",29.3,28.4,54,31,M.Trout (8.0),M.Scioscia (98-64)
2013,ANA,Los Angeles Angels of Anaheim,AL West,162,78,84,0,.481,.498,3rd of 5,18.0,,733,737,"3,019,505",27.8,29.1,49,26,M.Trout (9.3),M.Scioscia (78-84)
2012,ANA,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.542,3rd of 4,5.0,,767,699,"3,061,770",28.8,30.1,44,23,M.Trout (10.8),M.Scioscia (89-73)
2011,ANA,Los Angeles Angels of Anaheim,AL West,162,86,76,0,.531,.524,2nd of 4,10.0,,667,633,"3,166,321",28.9,28.4,43,21,J.Weaver (6.9),M.Scioscia (86-76)
2010,ANA,Los Angeles Angels of Anaheim,AL West,162,80,82,0,.494,.486,3rd of 4,10.0,,681,702,"3,250,814",29.6,28.3,46,21,J.Weaver (5.3),M.Scioscia (80-82)
2009,ANA,Los Angeles Angels of Anaheim,AL West,162,97,65,0,.599,.568,1st of 4,--,Lost ALCS (4-2),883,761,"3,240,386",29.6,28.6,46,25,C.Figgins (7.7),M.Scioscia (97-65)
2008,ANA,Los Angeles Angels of Anaheim,AL West,162,100,62,0,.617,.542,1st of 4,--,Lost LDS (3-1),765,697,"3,336,747",28.9,27.6,41,19,E.Santana (5.0),M.Scioscia (100-62)
2007,ANA,Los Angeles Angels of Anaheim,AL West,162,94,68,0,.580,.553,1st of 4,--,Lost LDS (3-0),822,731,"3,365,632",28.6,28.4,42,18,J.Lackey (6.2),M.Scioscia (94-68)
