team,year,stadium,capacity,team_name,division,G,win_pct,gb,playoffs,attendance,bat_age,pitch_age,top_player,WAR,num_home_games,avg_att_pg
ANA,1997,Angel Stadium,33851,Anaheim Angels,AL West,162,0.519,6.0,0,1767330,29.7,28.3,T.Salmon,4.9,81.0,21818.8888889
ANA,1998,Angel Stadium,45050,Anaheim Angels,AL West,162,0.525,3.0,0,2519280,28.7,29.8,C.Finley,7.2,81.0,31102.2222222
ANA,1999,Angel Stadium,45050,Anaheim Angels,AL West,162,0.432,25.0,0,2253123,28.8,31.5,R.Velarde,4.2,81.0,27816.3333333
ANA,2000,Angel Stadium,45050,Anaheim Angels,AL West,162,0.506,9.5,0,2066982,27.7,28.9,D.Erstad,8.3,81.0,25518.2962963
ANA,2001,Angel Stadium,45050,Anaheim Angels,AL West,162,0.463,41.0,0,2000919,28.0,28.9,T.Glaus,5.2,81.0,24702.7037037
ANA,2002,Angel Stadium,45050,Anaheim Angels,AL West,162,0.611,4.0,2,2305547,28.5,30.2,D.Erstad,6.4,81.0,28463.5432099
ANA,2003,Angel Stadium,45050,Anaheim Angels,AL West,162,0.475,19.0,0,3061094,29.1,29.0,G.Anderson,4.0,81.0,37791.2839506
ANA,2004,Angel Stadium,45050,Anaheim Angels,AL West,162,0.568,0.0,1,3375677,28.9,29.0,V.Guerrero,5.6,81.0,41675.0246914
ARI,1998,Chase Field,48500,Arizona Diamondbacks,NL West,162,0.401,33.0,0,3610290,27.8,27.4,O.Daal,4.1,81.0,44571.4814815
ARI,1999,Chase Field,48500,Arizona Diamondbacks,NL West,162,0.617,0.0,1,3019654,30.0,30.6,R.Johnson,8.6,81.0,37279.6790123
ARI,2000,Chase Field,48500,Arizona Diamondbacks,NL West,162,0.525,12.0,0,2942251,30.8,31.6,R.Johnson,8.1,81.0,36324.0864198
ARI,2001,Chase Field,48500,Arizona Diamondbacks,NL West,162,0.568,0.0,2,2736451,31.9,30.9,R.Johnson,9.4,81.0,33783.345679
ARI,2002,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.605,0.0,1,3198977,31.7,31.7,R.Johnson,10.5,81.0,39493.5432099
ARI,2003,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.519,16.5,0,2805542,30.6,29.2,B.Webb,5.9,81.0,34636.3209877
ARI,2004,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.315,42.0,0,2519560,28.9,29.3,R.Johnson,8.2,81.0,31105.6790123
ARI,2005,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.475,5.0,0,2059424,30.3,27.4,C.Counsell,5.5,81.0,25424.9876543
ARI,2006,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.469,12.0,0,2091685,29.6,28.8,B.Webb,7.0,81.0,25823.2716049
ARI,2007,Chase Field,49033,Arizona Diamondbacks,NL West,162,0.556,0.0,1,2325249,26.6,28.2,B.Webb,5.9,81.0,28706.7777778
ARI,2008,Chase Field,48711,Arizona Diamondbacks,NL West,162,0.506,2.0,0,2509924,26.7,29.4,D.Haren,6.5,81.0,30986.7160494
ARI,2009,Chase Field,48652,Arizona Diamondbacks,NL West,162,0.432,25.0,0,2128765,26.5,27.7,D.Haren,7.1,81.0,26281.0493827
