location,title,company,salary,summary
"New York, NY 10261 (Murray Hill area)",Data Scientist,        MassMutual Financial Group,NA,"MassMutual’s Advanced Analytics group is seeking an exceptional, highly motivated and self-directed data scientist for its New York office location...."
"New York, NY",Data Scientist,    HarperCollins Publishers Inc.,NA,"Uses mid to large-scale machine learning, data mining and statistical techniques to identify data patterns that drive actionable insights...."
"New York, NY 10016 (Gramercy area)",Data Scientist,    Simulmedia,NA,"You will find yourself working with other data scientists on cutting edge research with overarching themes, and also could find yourself in a discussion about..."
"New York, NY",Data Science Analyst,        AIG,NA,"§ Stay current on the latest machine learning and big data trends. We are looking for talented, curious, and creative Data Scientists to join our growing team...."
"New York, NY",Data Scientist,        PulsePoint,NA,"MS/PhD in Astronomy, Physics, Applied Mathematics, Statistics, Machine Learning, Computer Science; Research and investigate academic and industrial data mining,..."
"New York, NY",Data Scientists,    FXcompared,NA,We are looking for full-time Data Scientists to be responsible for analysis and presentation of our data. Analyze data to answer business questions and produce...
"New York, NY",Data Scientist/ Modeler,    Nucleus Marketing,NA,"You have a Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline...."
"New York, NY 10007 (Financial District area)","Analyst, Data Access & Advanced Analysis",        Conde Nast,NA,"R, and SQL, and principles of visual data display will come in handy. Approaches they use to derive insights and deliver data...."
"New York, NY",Data & Applied Scientist,        Microsoft,NA,Our partners are building amazing applications and we are looking for a Data Scientist with strong analytical and developer skills to join the DX Technical Team...
"New York, NY",Data Scientist (NLP) at Privco,    Brooklyn Data Science,NA,
"New York, NY",Data Scientist,        Newsela,NA,
"New York, NY",Data Scientist,    nuvento,NA,"Advanced degree in Applied Mathematics, Business Analytics, Statistics, Machine Learning, Computer Science, Data Science are a plus...."
"New York, NY",Data Scientist at Fino Consulting,    Brooklyn Data Science,NA,
"New York, NY 10005 (Financial District area)",Data Scientist,    Celmatix,NA,We seek a Data Scientist with deep expertise working with large clinical datasets to join our growing scientific team....
"New York, NY",Data Scientist,        WebMD,NA,"Medscape, a division of WebMD, develops and hosts physician portals and related mobile applications that make it easier for physicians and healthcare..."
"New York, NY",Disaster Recovery Data Analyst,        ICF,NA,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives...."
"New York, NY",Data Scientist,        Bonobos,NA,"Have a strong understanding of statistics, algorithm design, machine learning, and computer programming (UNIX, SQL, Python, AWS)...."
"New York, NY 10154 (Midtown area)",Data Scientist,        KPMG,NA,KPMG is currently seeking a Data Scientist to join our Advanced Data Analytics Organization. Analyze and model structured data and implement algorithms to...
"New York, NY",Data Scientist,    ColorOfChange,NA,"You will work with campaign staff and senior management to derive actionable insights from existing data (reports or data mining), as well as by testing...."
"New York, NY 10154 (Midtown area)",Data Scientist - Big Data & Analytics,        KPMG,NA,"KPMG is currently seeking a Data Scientist - Big Data & Analytics, to join our Advanced Data & Analytics Organization...."
"New York, NY 10016 (Gramercy area)",Sr Data Scientist,        Aetna,NA,Demonstrated subject matter expert in multiple subject areas. Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world...
"New York, NY",Senior Data Scientist,    NIT Finance,NA,"Working in Enterprise Data Management organization, the Senior Data Scientist will work with data teams to evolve machine learning and data scientist..."
"Jersey City, NJ",Data Scientist - Contract to Hire,    Forbes Media LLC,NA,
"New York, NY 10012 (Little Italy area)",Data Scientist,        Bond Street,NA,"You have experience in machine learning, statistical modeling, graph modeling, or data mining techniques. We’re looking for an extraordinary Data Scientist who..."
"New York, NY",Data Scientist,    indify,"$90,000 - $170,000 a year",Indify data scientists contribute to all aspects of the platform and are a vital part of envisioning and creating the future of our product....
"New York, NY",Statistical Analyst,        Hospital for Special Surgery,NA,"Master’s degree or higher in biostatistics or a related field (e.g., data mining, health outcomes, clinical epidemiology)...."
"New York, NY",Machine Learning Researcher,    Schrodinger,NA,"Experience using Machine Learning in low data settings. Peer-reviewed publications in computational chemistry, chemical physics and Machine Learning...."
