location,title,company,salary,summary
"New York, NY",Data Scientist,    indify,130000.0,Indify data scientists contribute to all aspects of the platform and are a vital part of envisioning and creating the future of our product....
"New York, NY",Data Scientist,    WorldCover,90000.0,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
"New York, NY",Data Scientist,    Scienaptic Systems Inc,100000.0,"As our representative in front of client, you will have the opportunity to construct and deliver high end analytics solutions delivered from a cutting edge big..."
"New York, NY 10038 (Financial District area)",Data Scientist,    Enterprise Select,130000.0,"Deep knowledge of applied statistics and machine learning. Collaborate with the business to identify problems, perform advanced analytics, and develop machine..."
"New York, NY",Senior Research Analyst,        Research Foundation of The City University of New...,75000.0,"Overseeing all project activities related to data collection, data analysis, and reporting; Working collaboratively with the Center Director, Chief of..."
"Manhattan, NY",Data Analyst/Modeler,        DEPARTMENT OF FINANCE,75557.5,"Strong programming, data analysis, statistical sampling or data mining experience. For Assignment Level I (only physical, biological and environmental sciences..."
"New York, NY",Junior Data Scientist,        Oliver James Associates,110500.0,
"New York, NY 10018 (Clinton area)",Data Scientist,    Princeton Consulting,150000.0,"Experience with Scala, AWS, R, docker, web-scraping. Proficent with Python Or SQL. Ability to visualize and communicate data science concepts to other team..."
"New York, NY",Sr Data Scientist,    PMES,155000.0,
"New York, NY",Data Scientist (People Analytics/HR),    Averity,215000.0,"If you are a Data Scientist with a particular interest in applying data analytics to the field of HR and People's Analytics, this is a unique opportunity...."
"New York, NY",Data Scientist for Data- Driven HealthTech Company,    Averity,137500.0,"Ultimately, we are searching for an intelligent, passionate, creative data scientist looking to use data science and advanced analytics to provide valuable..."
"New York, NY",Machine Learning Engineer,        Darwin Recruitment,130000.0,"Apply machine learning, NLP and deep learning methods to ever growing data sets. Machine Learning Engineer - Machine Learning - NLP - Java - Python - Spark -..."
"Manhattan, NY","Environmental Analyst, Bureau of Environmental Surveillance...",        DEPT OF HEALTH/MENTAL HYGIENE,78790.5,The Bureau of Environmental Surveillance and Policy (BESP) in the Division of Environmental Health at the New York City Department of Health and Mental Hygiene...
"Manhattan, NY","Research Scientist for Data Integrity, World Trade Center He...",        DEPT OF HEALTH/MENTAL HYGIENE,87915.0,"Under guidance of the Research Director, serve as Registry lead for survey data integrity and data cleaning and develop and manage implementation of data..."
"Manhattan, NY",Data Analyst,        ADMIN FOR CHILDREN'S SVCS,79249.5,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"New York, NY",VP Data Science,    Beeswax,147500.0,"A minimum of 5 years experience in Machine learning, large-scale data mining, or applied data science. We’re seeking a senior data scientist in New York City to..."
"New York, NY",Data Scientist Needed for Disruptive Tech Firm,    Averity,100000.0,"As a Data Scientist reporting directly to our Chief Data Officer and Lead Data Scientist, you will be focused on analyzing TB of market data, write predictive..."
"New York, NY",Bioinformatics Scientist/ Data Scientist,"    Envisagenics, Inc.",87500.0,"We are looking for experts in machine learning, Genomics, RNA-seq and/or biological data interpretation...."
"New York, NY","Project Associate, EQUAL",    NYU Global TIES for Children,52000.0,We are seeking a full-time Project Associate for the EQUAL project. Alice Wuermli (Research Scientist and Associate Director of Global TIES) and will be...
"New York, NY 10036",Python Backend working with Deep Learning,        Jobspring Partners,160000.0,They are looking for a seasoned back-end engineer to join their team of mobile engineers and data scientists....
"New York, NY",Data Scientist - Modeling,    Harnham,125000.0,Data Scientist - Modeling. Senior Data Scientist | Media | Computer Science | Machine Learning | Modeling | Data Engineering....
"New York, NY","Director of Data Science, Analytics",    Averity,212500.0,"As Director of Data Science, you will lead a team of experienced Data Scientists responsible for providing user behavior analytics and actionable..."
"New York, NY",Frontend Engineer,    605,112500.0,"Our team of data scientists pioneered the field of TV data analytics. At 605 we are engineers, analysts, data scientists, media experts, marketing strategists..."
"New York, NY",Digital Marketing (Data Scientist),"    Kennedy Unlimited Inc, Professional Staffing",115000.0,"Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"New York, NY",Principal Data Scientist,    Averity,167500.0,"As a Principal Data Scientist on our team, you will be a hands-on Data Scientist creating actionable insights based upon our big data sets...."
"New York, NY",Senior Data Scientist,        Oliver James Associates,170000.0,
"Manhattan, NY",Bike Share Data Scientist,        DEPARTMENT OF TRANSPORTATION,71814.5,"Establish and monitor best practices, policies, procedures and documentation around Citi Bike system data; Analyze software systems in a SQL Server environment..."
"New York, NY",Senior Data Scientist ( FinTech / Fraud / Python / R / Machi...,    Venturi Ltd,117500.0,"Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,..."
"New York, NY","Data Team Leader (VP, Director)",        VROOM,160000.0,"A data scientist or engineer comfortable managing other data scientists, data engineers and analysts, in a squad-based, start-up environment working with..."
"New York, NY",Post-doc Research Scientist,        Research Foundation of The City University of New...,62500.0,"The Barry Commoner Center for Health and the Environment (BCCHE, located in mid-Queens, is an environmental and occupational health research institute at Queens..."
"New York, NY",Senior Data Scientist,    All-In Analytics,145000.0,
"New York, NY",Full-Stack Data Scientist,    Averity,130000.0,"We are growing this year, and we hope to add 3-4 more data scientists to our team by the year's end. We are looking for a data scientist that can utilize data..."
"Manhattan, NY",Field Scientist,    DEPT OF PARKS & RECREATION,62000.0,"The mission of Forestry, Horticulture and Natural Resources (FHNR) is to protect, restore, expand and manage New York City’s natural spaces and green..."
"New York, NY",Lead Data Scientist,    Averity,130000.0,"As a Data Scientist in our Operational Analytics team, you lead and manage a team of data scientists ultimately responsible for driving our company's..."
"New York, NY",Data Scientist Healthcare,        Smith Hanley Associates,115000.0,
"New York, NY",Field Scientist,        Miller Advertising,62000.0,"City Research Scientist; Field Scientist The mission of Forestry, Horticulture and Natural Resources (FHNR) is to protect, restore, expand and manage New York..."
